Episode    1 | reward:  -199.00 | buffer: 200
Episode  109 | reward:  -182.00 | buffer: 21800
Episode  110 | reward:  -200.00 | buffer: 22000
  eval @ ep 110: -196.60 +/- 6.80
Episode  111 | reward:  -200.00 | buffer: 22200
Episode  112 | reward:  -200.00 | buffer: 22400
Episode  113 | reward:  -200.00 | buffer: 22600
Episode  114 | reward:  -179.00 | buffer: 22800
Episode  115 | reward:  -179.00 | buffer: 23000
Episode  116 | reward:  -200.00 | buffer: 23200
Episode  117 | reward:  -200.00 | buffer: 23400
Episode  118 | reward:  -200.00 | buffer: 23600
Episode  119 | reward:  -200.00 | buffer: 23800
Episode  120 | reward:  -200.00 | buffer: 24000
  eval @ ep 120: -196.60 +/- 6.80
Episode  121 | reward:  -181.00 | buffer: 24200
Episode  122 | reward:  -200.00 | buffer: 24400
Episode  123 | reward:  -182.00 | buffer: 24600
Episode  124 | reward:  -186.00 | buffer: 24800
Episode  125 | reward:  -200.00 | buffer: 25000
Episode  126 | reward:  -200.00 | buffer: 25200
Episode  127 | reward:  -200.00 | buffer: 25400
Episode  128 | reward:  -180.00 | buffer: 25600
Episode  129 | reward:  -181.00 | buffer: 25800
Episode  130 | reward:  -187.00 | buffer: 26000
  eval @ ep 130: -196.40 +/- 7.20
Episode  131 | reward:  -179.00 | buffer: 26200
Episode  132 | reward:  -200.00 | buffer: 26400
Episode  133 | reward:  -200.00 | buffer: 26600
Episode  134 | reward:  -200.00 | buffer: 26800
Episode  135 | reward:  -184.00 | buffer: 27000
Episode  136 | reward:  -200.00 | buffer: 27200
Episode  137 | reward:  -200.00 | buffer: 27400
Episode  138 | reward:  -181.00 | buffer: 27600
Episode  139 | reward:  -183.00 | buffer: 27800
Episode  140 | reward:  -179.00 | buffer: 28000
  eval @ ep 140: -196.80 +/- 6.40
Episode  141 | reward:  -179.00 | buffer: 28200
Episode  142 | reward:  -200.00 | buffer: 28400
Episode  143 | reward:  -175.00 | buffer: 28600
Episode  144 | reward:  -185.00 | buffer: 28800
Episode  145 | reward:  -181.00 | buffer: 29000
Episode  146 | reward:  -178.00 | buffer: 29200
Episode  147 | reward:  -200.00 | buffer: 29400
Episode  148 | reward:  -178.00 | buffer: 29600
Episode  149 | reward:  -200.00 | buffer: 29800
Episode  150 | reward:  -200.00 | buffer: 30000
  eval @ ep 150: -196.40 +/- 7.20
Episode  151 | reward:  -173.00 | buffer: 30200
Episode  152 | reward:  -178.00 | buffer: 30400
Episode  153 | reward:  -200.00 | buffer: 30600
Episode  154 | reward:  -177.00 | buffer: 30800
Episode  155 | reward:  -183.00 | buffer: 31000
Episode  156 | reward:  -200.00 | buffer: 31200
Episode  157 | reward:  -183.00 | buffer: 31400
Episode  158 | reward:  -200.00 | buffer: 31600
Episode  159 | reward:  -181.00 | buffer: 31800
Episode  160 | reward:  -181.00 | buffer: 32000
  eval @ ep 160: -195.20 +/- 9.60
Episode  161 | reward:  -170.00 | buffer: 32200
Episode  162 | reward:  -200.00 | buffer: 32400
Episode  163 | reward:  -178.00 | buffer: 32600
Episode  164 | reward:  -200.00 | buffer: 32800
Episode  165 | reward:  -171.00 | buffer: 33000
Episode  166 | reward:  -180.00 | buffer: 33200
Episode  167 | reward:  -200.00 | buffer: 33400
Episode  168 | reward:  -175.00 | buffer: 33600
Episode  169 | reward:  -174.00 | buffer: 33800
Episode  170 | reward:  -180.00 | buffer: 34000
  eval @ ep 170: -196.40 +/- 7.20
Episode  171 | reward:  -200.00 | buffer: 34200
Episode  172 | reward:  -200.00 | buffer: 34400
Episode  173 | reward:  -200.00 | buffer: 34600
Episode  174 | reward:  -200.00 | buffer: 34800
Episode  175 | reward:  -181.00 | buffer: 35000
Episode  176 | reward:  -200.00 | buffer: 35200
Episode  177 | reward:  -169.00 | buffer: 35400
Episode  178 | reward:  -182.00 | buffer: 35600
Episode  179 | reward:  -200.00 | buffer: 35800
Episode  180 | reward:  -183.00 | buffer: 36000
  eval @ ep 180: -196.20 +/- 7.60
Episode  181 | reward:  -181.00 | buffer: 36200
Episode  182 | reward:  -200.00 | buffer: 36400
Episode  183 | reward:  -200.00 | buffer: 36600
Episode  184 | reward:  -200.00 | buffer: 36800
Episode  185 | reward:  -175.00 | buffer: 37000
Episode  186 | reward:  -182.00 | buffer: 37200
Episode  187 | reward:  -179.00 | buffer: 37400
Episode  188 | reward:  -200.00 | buffer: 37600
Episode  189 | reward:  -180.00 | buffer: 37800
Episode  190 | reward:  -170.00 | buffer: 38000
  eval @ ep 190: -196.20 +/- 7.60
Episode  191 | reward:  -200.00 | buffer: 38200
Episode  192 | reward:  -181.00 | buffer: 38400
Episode  193 | reward:     0.00 | buffer: 38600
Episode  194 | reward:  -200.00 | buffer: 38800
Episode  195 | reward:  -200.00 | buffer: 39000
Episode  196 | reward:  -200.00 | buffer: 39200
Episode  197 | reward:  -200.00 | buffer: 39400
Episode  198 | reward:  -182.00 | buffer: 39600
Episode  199 | reward:  -180.00 | buffer: 39800
Episode  200 | reward:  -180.00 | buffer: 40000
  eval @ ep 200: -196.40 +/- 7.20
Done. Logs and checkpoints written to results_sparse_no_smoothing/
