Episode  109 | reward:   -31.00 | buffer: 21800
Episode  110 | reward:  -162.00 | buffer: 22000
  eval @ ep 110: -71.80 +/- 64.60
Episode  111 | reward:   -42.00 | buffer: 22200
Episode  112 | reward:   -58.00 | buffer: 22400
Episode  113 | reward:   -68.00 | buffer: 22600
Episode  114 | reward:   -22.00 | buffer: 22800
Episode  115 | reward:   -22.00 | buffer: 23000
Episode  116 | reward:   -40.00 | buffer: 23200
Episode  117 | reward:   -41.00 | buffer: 23400
Episode  118 | reward:   -85.00 | buffer: 23600
Episode  119 | reward:  -200.00 | buffer: 23800
Episode  120 | reward:   -42.00 | buffer: 24000
  eval @ ep 120: -52.80 +/- 22.72
Episode  121 | reward:   -25.00 | buffer: 24200
Episode  122 | reward:   -51.00 | buffer: 24400
Episode  123 | reward:   -24.00 | buffer: 24600
Episode  124 | reward:   -22.00 | buffer: 24800
Episode  125 | reward:   -40.00 | buffer: 25000
Episode  126 | reward:   -87.00 | buffer: 25200
Episode  127 | reward:   -67.00 | buffer: 25400
Episode  128 | reward:   -23.00 | buffer: 25600
Episode  129 | reward:   -23.00 | buffer: 25800
Episode  130 | reward:   -27.00 | buffer: 26000
  eval @ ep 130: -41.60 +/- 15.05
Episode  131 | reward:   -24.00 | buffer: 26200
Episode  132 | reward:   -40.00 | buffer: 26400
Episode  133 | reward:  -200.00 | buffer: 26600
Episode  134 | reward:  -200.00 | buffer: 26800
Episode  135 | reward:    -3.00 | buffer: 27000
Episode  136 | reward:   -38.00 | buffer: 27200
Episode  137 | reward:   -39.00 | buffer: 27400
Episode  138 | reward:   -27.00 | buffer: 27600
Episode  139 | reward:   -29.00 | buffer: 27800
Episode  140 | reward:   -23.00 | buffer: 28000
  eval @ ep 140: -43.20 +/- 15.35
Episode  141 | reward:   -23.00 | buffer: 28200
Episode  142 | reward:   -69.00 | buffer: 28400
Episode  143 | reward:    -9.00 | buffer: 28600
Episode  144 | reward:   -24.00 | buffer: 28800
Episode  145 | reward:   -25.00 | buffer: 29000
Episode  146 | reward:   -24.00 | buffer: 29200
Episode  147 | reward:   -75.00 | buffer: 29400
Episode  148 | reward:   -24.00 | buffer: 29600
Episode  149 | reward:   -59.00 | buffer: 29800
Episode  150 | reward:   -64.00 | buffer: 30000
  eval @ ep 150: -34.60 +/- 11.22
Episode  151 | reward:     0.00 | buffer: 30200
Episode  152 | reward:   -22.00 | buffer: 30400
Episode  153 | reward:   -72.00 | buffer: 30600
Episode  154 | reward:   -25.00 | buffer: 30800
Episode  155 | reward:   -23.00 | buffer: 31000
Episode  156 | reward:   -39.00 | buffer: 31200
Episode  157 | reward:   -24.00 | buffer: 31400
Episode  158 | reward:   -51.00 | buffer: 31600
Episode  159 | reward:   -24.00 | buffer: 31800
Episode  160 | reward:   -27.00 | buffer: 32000
  eval @ ep 160: -34.20 +/- 12.22
Episode  161 | reward:     0.00 | buffer: 32200
Episode  162 | reward:   -40.00 | buffer: 32400
Episode  163 | reward:   -24.00 | buffer: 32600
Episode  164 | reward:   -58.00 | buffer: 32800
Episode  165 | reward:    -2.00 | buffer: 33000
Episode  166 | reward:   -23.00 | buffer: 33200
Episode  167 | reward:   -39.00 | buffer: 33400
Episode  168 | reward:   -22.00 | buffer: 33600
Episode  169 | reward:     0.00 | buffer: 33800
Episode  170 | reward:   -21.00 | buffer: 34000
  eval @ ep 170: -34.60 +/- 11.94
Episode  171 | reward:   -40.00 | buffer: 34200
Episode  172 | reward:   -30.00 | buffer: 34400
Episode  173 | reward:   -55.00 | buffer: 34600
Episode  174 | reward:   -54.00 | buffer: 34800
Episode  175 | reward:   -26.00 | buffer: 35000
Episode  176 | reward:   -57.00 | buffer: 35200
Episode  177 | reward:     0.00 | buffer: 35400
Episode  178 | reward:   -24.00 | buffer: 35600
Episode  179 | reward:   -54.00 | buffer: 35800
Episode  180 | reward:   -25.00 | buffer: 36000
  eval @ ep 180: -34.60 +/- 12.37
